,0
0,(4044553734.375051+0j)
1,(4049241046.8750496+0j)
2,(4051185570.312551+0j)
3,(4053298640.625049+0j)
4,(4055920132.812553+0j)
5,(4057153437.500052+0j)
6,(4058495906.250049+0j)
7,(4060223609.3750505+0j)
8,(4064008789.062551+0j)
9,(4065204242.187552+0j)
10,(4066934710.937552+0j)
11,(4068847656.250051+0j)
12,(4070357539.062552+0j)
13,(4072581890.6250496+0j)
14,(4075241210.937551+0j)
15,(4077633906.250052+0j)
16,(4079062382.81255+0j)
17,(4080030320.3125515+0j)
18,(4082836773.4375496+0j)
19,(4084094867.187552+0j)
20,(4087584960.937551+0j)
21,(4088950984.375049+0j)
22,(4090314453.125051+0j)
23,(4091851679.687552+0j)
24,(4094985210.9375496+0j)
25,(4097714679.6875496+0j)
26,(4098622000.0000505+0j)
27,(4100454101.562551+0j)
28,(4102191570.3125525+0j)
29,(4104072265.625051+0j)
30,(4106458218.750053+0j)
31,(4109032320.312552+0j)
32,(4110952148.437551+0j)
33,(4118517578.125051+0j)
34,(4120885742.187551+0j)
35,(4123055828.1250525+0j)
36,(4125303453.1250486+0j)
37,(4128439875.000055+0j)
38,(4129393226.562548+0j)
39,(4131683710.937552+0j)
40,(4134474726.562552+0j)
41,(4136663437.500054+0j)
42,(4138582679.687548+0j)
43,(4140157320.312552+0j)
44,(4141999046.875051+0j)
45,(4144271812.500054+0j)
46,(4146293085.937552+0j)
47,(4149535968.7500496+0j)
48,(4152194617.1875534+0j)
49,(4154621093.750051+0j)
50,(4156550781.250051+0j)
51,(4159398718.7500534+0j)
52,(4160538828.125049+0j)
53,(4161634578.125049+0j)
54,(4163186523.437551+0j)
55,(4165438617.187552+0j)
56,(4165800898.437552+0j)
57,(4168195617.1875534+0j)
58,(4168424617.1876+0j)
59,(4168418945.312551+0j)
60,(4170203843.7500486+0j)
61,(4170202875.000032+0j)
62,(4171619140.625051+0j)
63,(4172221679.687551+0j)
64,(4173041015.625051+0j)
65,(4173405273.437551+0j)
66,(4173654273.4376016+0j)
67,(4173661132.812551+0j)
68,(4175728328.125049+0j)
69,(4175916328.1250877+0j)
70,(4175738828.1250134+0j)
71,(4175923828.125051+0j)
72,(4177349726.562552+0j)
73,(4178149062.5000477+0j)
74,(4179929781.250052+0j)
75,(4180871695.3125477+0j)
76,(4180902343.75+0j)
77,(4181153343.750051+0j)
78,(4183252414.0625463+0j)
79,(4183809382.812549+0j)
80,(4185275414.062551+0j)
81,(4187642578.125051+0j)
82,(4189376117.187552+0j)
83,(4191560382.8125496+0j)
84,(4193360351.562551+0j)
85,(4195263671.875051+0j)
86,(4200343750.000051+0j)
87,(4202215054.687553+0j)
88,(4203662250.000052+0j)
89,(4205179851.5625525+0j)
90,(4206664062.500051+0j)
91,(4208034039.0625496+0j)
92,(4209615234.375051+0j)
93,(4211597773.437552+0j)
94,(4213708984.375051+0j)
95,(4215097656.250051+0j)
96,(4217744257.812552+0j)
97,(4218470726.562551+0j)
98,(4221391437.5000496+0j)
99,(4223182429.687549+0j)
100,(4225361468.750052+0j)
101,(4227071406.250052+0j)
102,(4234211031.250052+0j)
103,(4234422031.250095+0j)
104,(4234210062.5000095+0j)
105,(4234423062.500053+0j)
106,(4235979375.00005+0j)
107,(4237415757.8125486+0j)
108,(4239045898.437551+0j)
109,(4240597656.250051+0j)
110,(4242197593.750054+0j)
111,(4243663250.0000525+0j)
112,(4245431757.812552+0j)
113,(4247784437.5000534+0j)
114,(4252458171.8750525+0j)
115,(4254078125.000051+0j)
116,(4255519531.250051+0j)
117,(4257439593.750052+0j)
118,(4259487351.5625515+0j)
119,(4262244023.43755+0j)
120,(4268284968.750049+0j)
121,(4269593843.750052+0j)
122,(4271190523.437552+0j)
123,(4272783296.875052+0j)
124,(4274441500.000052+0j)
125,(4276091031.250053+0j)
126,(4277250210.937553+0j)
127,(4279500140.625052+0j)
128,(4282037109.375051+0j)
129,(4284135835.937552+0j)
130,(4286446289.062551+0j)
131,(4288014648.437551+0j)
132,(4289448242.187551+0j)
133,(4291631671.8750496+0j)
134,(4292841632.8125496+0j)
135,(4305995210.9375515+0j)
136,(4311434992.187555+0j)
137,(4312806039.062554+0j)
138,(4313989257.8125515+0j)
139,(4315307757.8125515+0j)
140,(4317038460.937554+0j)
141,(4318716890.6250515+0j)
142,(4320589843.7500515+0j)
143,(4323552945.312553+0j)
144,(4324514460.93755+0j)
145,(4325802546.87505+0j)
146,(4327679500.00005+0j)
147,(4328740445.312553+0j)
148,(4330160367.187553+0j)
149,(4332699031.25005+0j)
150,(4334391601.5625515+0j)
151,(4336389859.375053+0j)
152,(4343290156.2500515+0j)
153,(4344828453.125053+0j)
154,(4345659179.6875515+0j)
155,(4347315109.375057+0j)
156,(4348616023.43755+0j)
157,(4350424851.5625515+0j)
158,(4352303945.312553+0j)
159,(4354984609.375053+0j)
160,(4356953382.812553+0j)
161,(4357576007.81255+0j)
162,(4359075546.875053+0j)
163,(4360784179.6875515+0j)
164,(4362119562.500055+0j)
165,(4364261531.25005+0j)
166,(4366094726.5625515+0j)
167,(4368167968.7500515+0j)
168,(4379492492.187553+0j)
169,(4380471351.562548+0j)
170,(4381581656.250048+0j)
171,(4383086562.500048+0j)
172,(4384077148.4375515+0j)
173,(4386114468.750053+0j)
174,(4387338031.2500515+0j)
175,(4389407062.50005+0j)
176,(4391186593.7500515+0j)
177,(4392706382.812553+0j)
178,(4394383460.937548+0j)
179,(4396109820.312555+0j)
180,(4397084312.500053+0j)
181,(4398369765.625048+0j)
182,(4400958218.750053+0j)
183,(4403544921.8750515+0j)
184,(4405611609.375053+0j)
185,(4413085265.625053+0j)
186,(4414171109.375053+0j)
187,(4415310921.875054+0j)
188,(4416398695.312553+0j)
189,(4418080406.250053+0j)
190,(4420011531.25005+0j)
191,(4421319453.1250515+0j)
192,(4423158015.62505+0j)
193,(4424752625.000048+0j)
194,(4426372882.81255+0j)
195,(4428358796.875054+0j)
196,(4429263234.375055+0j)
197,(4429889312.50004+0j)
198,(4432441710.937553+0j)
199,(4432863789.062547+0j)
200,(4435223609.375051+0j)
201,(4436225796.875053+0j)
202,(4437834984.3750515+0j)
203,(4438356281.25005+0j)
204,(4439395273.43755+0j)
205,(4441306453.12505+0j)
206,(4443467585.93755+0j)
207,(4445469703.125051+0j)
208,(4447821289.0625515+0j)
209,(4450770648.4375515+0j)
210,(4452095820.3125515+0j)
211,(4453914851.56255+0j)
212,(4456087492.187548+0j)
213,(4458495046.875051+0j)
214,(4460962007.8125515+0j)
215,(4464191078.125048+0j)
216,(4466857539.0625515+0j)
217,(4467965609.37505+0j)
218,(4468879859.375051+0j)
219,(4470548203.125053+0j)
220,(4471454679.687548+0j)
221,(4473229656.250052+0j)
222,(4475361187.50005+0j)
223,(4477409531.250053+0j)
224,(4479641320.312549+0j)
225,(4482608539.0625515+0j)
226,(4484514460.93755+0j)
227,(4485832820.31255+0j)
228,(4488119234.3750515+0j)
229,(4490244773.437556+0j)
230,(4495358695.312545+0j)
