,Channel,Noise (microPhi0 / sqrt(Hz)),Standard Deviation (microPhi0 / sqrt(Hz))
0,0,2.689455271303614,1.896060890987192
1,1,4.033783338312674,4.059068627028878
2,2,473.4075284198284,725.6587954155449
3,3,3.542656871026455,5.2118611085087885
4,4,3.113713273574633,2.957687417992553
5,5,3.909529710253111,3.934352251267483
6,6,3.4229566074034765,3.8430612825857082
7,7,3.4099941151936943,4.318526161264647
8,8,4.184905779267432,4.22738126310436
9,9,2.9175594174493336,2.8010812571647596
10,10,2.861714194875027,2.705149037837348
11,11,4.45830409682534,4.379376210270016
12,12,4.618669091781276,5.345834067399161
13,13,4.317246909513536,4.070825431509496
14,14,4.349789928098997,4.810513920866302
15,15,9.142554998065357,9.841815559329952
16,16,3.350544246887975,3.002139193582138
17,17,12.277983975306977,11.453897982239678
18,18,4.665841218471626,4.409102830233627
19,19,4.605419151773259,4.46438987018929
20,20,7.447070892619983,6.084110934088996
21,21,7.932890813462238,9.445222898567625
22,22,4.573654810905166,4.794008054192729
23,23,5.9045387802209435,6.436427737791527
24,24,3.7586572530554,5.091009096995648
25,25,4.3262933724869255,5.289005772371089
26,26,2.8174344770727933,3.1431037355564264
27,27,3.715971154499246,4.82909268089752
28,28,4.4717879835714625,5.383946707472705
29,29,5.536051398145865,5.419334423867002
30,30,6.549533807210299,6.351393158986188
31,31,5.667918671591761,5.745483390797355
32,32,3.4116614914229224,3.646306327283702
33,33,37.026845534242725,31.24268007557694
34,34,4.485946243705295,4.854904971638575
35,35,5.201214612434961,6.6065233434824835
36,36,4.521446551560744,4.627274782175117
37,37,9.271955809089404,9.218788892326273
38,38,6.377883085430508,6.475309383935265
39,39,7.6943755455533305,7.485172347329864
40,40,5.544826368475012,5.716762975993285
41,41,2.6228479671759017,3.2538083410204672
42,42,3.472438837288401,4.330909081166017
43,43,3.236436553672027,4.302680254883156
44,44,4.595310701533824,6.159811874999561
45,45,3.458859964812971,4.368260603404694
46,46,5.372948663193063,6.527769057442451
47,47,5.146075664236615,5.178857452441202
48,48,4.405309953609261,4.785951538090564
49,49,3.1890440345121487,3.858826892466735
50,50,43.082204445340686,48.41109035848412
51,51,50.502481224900336,60.98708990346469
52,52,3.561551796022682,4.582266581673222
53,53,6.192546177053268,5.644392280828021
54,54,3.716275947936616,4.078454955768083
55,55,3.5535727506619352,3.9289203543346076
56,56,3.6706340188290594,3.7315923005040097
57,57,4.7770990055237625,5.030142553923859
58,58,10.274913689838618,10.22051443468311
59,59,16.218807097367765,13.013927933553065
60,60,4.374963181656848,5.436939707242358
61,61,3.4977615934384443,3.9179160331210694
62,62,3.146325927740231,3.0216944127119123
63,63,2.8646132867622414,2.8237280161312
64,64,3.178774869818978,2.838220514286888
65,65,264.6364080894846,171.64191768338284
66,66,,
67,67,,
68,68,,
69,69,,
70,70,,
71,71,,
72,72,,
73,73,,
74,74,,
75,75,,
76,76,,
77,77,,
78,78,,
79,79,,
80,80,,
81,81,,
82,82,,
83,83,,
84,84,,
85,85,,
86,86,,
87,87,,
88,88,,
89,89,,
90,90,,
91,91,,
92,92,,
93,93,,
94,94,,
95,95,,
96,96,,
97,97,,
98,98,,
99,99,,
100,100,,
101,101,,
102,102,,
103,103,,
104,104,,
105,105,,
106,106,,
107,107,,
108,108,,
109,109,,
110,110,,
111,111,,
112,112,,
113,113,,
114,114,,
115,115,,
116,116,,
117,117,,
118,118,,
119,119,,
120,120,,
121,121,,
122,122,,
123,123,,
124,124,,
125,125,,
126,126,,
127,127,,
128,128,,
129,129,,
130,130,,
131,131,,
132,132,,
133,133,,
134,134,,
135,135,,
136,136,,
137,137,,
138,138,,
139,139,,
140,140,,
141,141,,
142,142,,
143,143,,
144,144,,
145,145,,
146,146,,
147,147,,
148,148,,
149,149,,
150,150,,
151,151,,
152,152,,
153,153,,
154,154,,
155,155,,
156,156,,
157,157,,
158,158,,
159,159,,
160,160,,
161,161,,
162,162,,
163,163,,
164,164,,
165,165,,
166,166,,
167,167,,
168,168,,
169,169,,
170,170,,
171,171,,
172,172,,
173,173,,
174,174,,
175,175,,
176,176,,
177,177,,
178,178,,
179,179,,
180,180,,
181,181,,
182,182,,
183,183,,
184,184,,
185,185,,
186,186,,
187,187,,
188,188,,
189,189,,
190,190,,
191,191,,
192,192,,
193,193,,
194,194,,
195,195,,
196,196,,
197,197,,
198,198,,
199,199,,
200,200,,
201,201,,
202,202,,
203,203,,
204,204,,
205,205,,
206,206,,
207,207,,
208,208,,
209,209,,
210,210,,
211,211,,
212,212,,
213,213,,
214,214,,
215,215,,
216,216,,
217,217,,
218,218,,
219,219,,
220,220,,
221,221,,
222,222,,
223,223,,
224,224,,
225,225,,
226,226,,
227,227,,
228,228,,
229,229,,
230,230,,
231,231,,
232,232,,
233,233,,
234,234,,
235,235,,
236,236,,
237,237,,
238,238,,
239,239,,
240,240,,
241,241,,
242,242,,
243,243,,
244,244,,
245,245,,
246,246,,
247,247,,
248,248,,
249,249,,
250,250,,
251,251,,
252,252,,
253,253,,
254,254,,
255,255,,
256,256,,
257,257,,
258,258,,
259,259,,
260,260,,
261,261,,
262,262,,
263,263,,
264,264,,
